id_student;fio;dob;passport;student_pass;id_specialty;faculty;id_group;enrollment_date;date_deduction;scientific_director
8647;Горбунова Валерия Ильинична;21.01.2007;3262 869512;840447268;69744;Факультет математики;14317;01.09.2022;;Маркова Вероника Данииловна
9125;Горячев Роман Александрович;13.05.2007;6895 916161;984310296;75654;Факультет информатики и вычислительной техники;13806;01.11.2021;;Маслов Евгений Даниилович
3887;Григорьев Дмитрий Максимович;11.01.2007;8191 912720;216379917;69744;Факультет математики;14317;01.09.2021;;Панова Ксения Петровна
6673;Григорьев Иван Тимофеевич;20.07.2007;1248 649440;332240659;72582;Факультет машиностроения;6796;01.11.2022;;Попова Ева Мирославовна
6936;Григорьева Ева Максимовна;04.02.2007;9833 908245;543645365;69744;Факультет математики;14317;01.11.2021;;Фадеева Елизавета Николаевна
7877;Гусев Макар Александрович;07.12.2006;4389 946321;196855962;69744;Факультет математики;14317;01.11.2021;;Швецов Богдан Михайлович
9073;Гусева София Максимовна;17.07.2007;3441 498622;378505919;78459;Факультет машиностроения;8873;01.11.2021;;Юдин Алексей Всеволодович
1408;Дмитриева София Егоровна;19.01.2007;9678 182828;137852483;55528;Факультет математики;11642;01.11.2022;;Дмитриев Артём Викторович
9282;Долгова Ева Максимовна;27.11.2006;8176 446553;3952549;72582;Факультет машиностроения;6796;01.09.2021;01.03.2024;Долгова Александра Александровна
8477;Дубинин Константин Миронович;18.12.2006;6402 970939;517271139;75654;Факультет информатики и вычислительной техники;13806;01.09.2021;;Дьякова Ольга Ивановна
8918;Евдокимов Роман Даниилович;02.03.2007;4558 715716;743729302;64346;Факультет информатики и вычислительной техники;5828;01.09.2021;;Ефремова Виктория Денисовна
5632;Еремеев Даниил Демьянович;28.12.2006;2710 324117;318762843;2479;Факультет экономики;2897;01.09.2022;;Жданов Максим Маркович
8241;Ермолаева Ольга Евгеньевна;10.06.2007;7649 150553;75077562;55528;Факультет математики;11642;01.11.2021;;Иванов Дмитрий Даниилович
1525;Жданов Филипп Максимович;05.10.2007;3263 436060;596416399;55809;Факультет биологии;10736;01.11.2021;;Ильина Анастасия Адамовна
6097;Журавлева Карина Сергеевна;24.12.2006;1467 333013;748119134;55809;Факультет биологии;10736;01.11.2021;;Круглов Марк Артёмович
4302;Завьялов Игорь Владимирович;30.08.2007;8286 870933;443606968;55528;Факультет математики;11642;01.11.2022;;Мартынова София Юрьевна
6849;Захаров Матвей Егорович;19.06.2007;6366 205275;198611829;66328;Факультет математики;23906;01.11.2021;;Никитина Ева Артёмовна
2057;Зверева Арина Алексеевна;17.10.2007;9786 255052;917055277;75654;Факультет информатики и вычислительной техники;13806;01.11.2021;;Маркова Вероника Данииловна
3621;Иванов Александр Максимович;20.10.2007;9316 663412;886172691;61489;Факультет информатики и вычислительной техники;12021;01.11.2021;29.12.2023;Маслов Евгений Даниилович
1134;Иванов Родион Даниилович;17.10.2007;7741 597123;384009809;66328;Факультет математики;23906;01.11.2021;;Мартынова София Юрьевна
8627;Иванов Владислав Романович;05.11.2007;4600 777735;586616315;66328;Факультет математики;23906;01.11.2022;;Никитина Ева Артёмовна
6599;Иванова Александра Артёмовна;10.10.2007;6651 119966;208654351;55809;Факультет биологии;10736;01.11.2022;;Фадеева Елизавета Николаевна
5281;Казаков Даниил Юрьевич;08.04.2007;2868 820074;848622498;64346;Факультет информатики и вычислительной техники;5828;01.11.2022;;Пономарева Алиса Романовна
8037;Калугина Серафима Артёмовна;31.03.2007;1382 833604;801614596;72582;Факультет машиностроения;6796;01.09.2021;;Прохоров Павел Вячеславович
3397;Карпова Маргарита Михайловна;06.01.2007;8773 744656;761549827;78459;Факультет машиностроения;8873;01.09.2023;01.03.2024;Савин Степан Евгеньевич
7273;Климов Михаил Кириллович;15.08.2007;9877 301009;180228364;64346;Факультет информатики и вычислительной техники;5828;01.09.2022;;Серебряков Матвей Артурович
5766;Козлов Николай Даниилович;06.08.2007;8789 608731;752465072;2479;Факультет экономики;2897;01.09.2022;;Долгова Александра Александровна
9486;Корнева Ольга Марковна;29.11.2006;4629 309346;148985839;61489;Факультет информатики и вычислительной техники;12021;01.09.2021;;Дьякова Ольга Ивановна
7156;Королев Дмитрий Романович;29.06.2007;9688 782003;741990989;55528;Факультет математики;11642;01.09.2022;;Ефремова Виктория Денисовна
4372;Коршунова Елена Максимовна;24.06.2007;6435 601216;655765434;55809;Факультет биологии;10736;01.09.2022;;Жданов Максим Маркович
5418;Краснова София Дмитриевна;27.08.2007;3654 323548;130808750;58888;Факультет математики;13111;01.09.2021;;Иванов Дмитрий Даниилович
7936;Крылова Василиса Денисовна;08.08.2007;7163 403962;383217119;61489;Факультет информатики и вычислительной техники;12021;01.11.2021;;Ильина Анастасия Адамовна
2228;Кузнецов Макар Макарович;25.10.2007;5472 123835;885559388;75081;Факультет машиностроения;15755;01.11.2021;;Дмитриев Артём Викторович
5388;Кузнецова Екатерина Ивановна;12.06.2007;5512 843970;423551019;64073;Факультет машиностроения;19455;01.11.2022;29.12.2023;Долгова Александра Александровна
7789;Кулаков Андрей Тимофеевич;14.07.2007;8980 266848;233983083;2478;Факультет экономики;2897;01.11.2021;;Дьякова Ольга Ивановна
4210;Куликов Пётр Ярославович;18.07.2007;2302 187048;749065387;69744;Факультет математики;14317;01.09.2023;;Ефремова Виктория Денисовна
4322;Лазарев Ярослав Владимирович;03.03.2007;8113 117330;636279799;61489;Факультет информатики и вычислительной техники;12021;01.09.2021;;Жданов Максим Маркович
6535;Лебедева Екатерина Александровна;08.01.2007;3690 448922;295513509;75654;Факультет информатики и вычислительной техники;13806;01.09.2021;;Иванов Дмитрий Даниилович
2327;Лосева Маргарита Мироновна;02.01.2007;7173 908122;941890404;55809;Факультет биологии;10736;01.11.2022;01.03.2024;Ильина Анастасия Адамовна
9003;Лукин Илья Егорович;26.01.2007;2488 543550;685352919;58888;Факультет математики;13111;01.09.2021;;Круглов Марк Артёмович
3664;Майорова Алина Платоновна;27.03.2007;7757 485912;830648155;61489;Факультет информатики и вычислительной техники;12021;01.09.2022;;Мартынова София Юрьевна
6233;Мельников Тимофей Платонович;07.02.2007;2183 565288;917582997;64346;Факультет информатики и вычислительной техники;5828;01.09.2021;;Никитина Ева Артёмовна
8625;Мельников Павел Иванович;23.08.2007;5874 460469;595037775;58888;Факультет математики;13111;01.11.2021;;Иванов Дмитрий Даниилович
7985;Мельникова Вера Робертовна;13.10.2007;3503 954386;642186553;55809;Факультет биологии;10736;01.09.2021;;Дмитриев Артём Викторович
3095;Михайлова Дарья Александровна;08.04.2007;4484 890663;648027759;2479;Факультет экономики;2897;01.09.2023;;Долгова Александра Александровна
8178;Михайлова Елизавета Марковна;26.04.2007;7146 503330;126207133;66328;Факультет математики;23906;01.09.2021;;Дьякова Ольга Ивановна
6203;Муравьев Степан Андреевич;09.10.2007;5393 759471;980468913;75654;Факультет информатики и вычислительной техники;13806;01.09.2022;01.03.2024;Ефремова Виктория Денисовна
6323;Назарова Нина Егоровна;17.07.2007;9791 416682;338186934;66328;Факультет математики;23906;01.09.2021;;Жданов Максим Маркович
8456;Некрасова Мария Михайловна;13.09.2007;3106 877881;624221245;2478;Факультет экономики;2897;01.11.2022;;Иванов Дмитрий Даниилович
7554;Носов Максим Матвеевич;05.11.2007;3013 676139;758589316;61489;Факультет информатики и вычислительной техники;12021;01.09.2022;;Ильина Анастасия Адамовна
6833;Носова Анна Романовна;13.07.2007;1236 901015;296061282;64346;Факультет информатики и вычислительной техники;5828;01.09.2021;;Круглов Марк Артёмович
9438;Панов Владимир Михайлович;09.09.2007;4903 709134;53719993;75654;Факультет информатики и вычислительной техники;13806;01.11.2021;;Мартынова София Юрьевна
2392;Петров Константин Алексеевич;18.08.2007;4703 534709;679863288;68579;Факультет машиностроения;17952;01.11.2022;29.12.2023;Никитина Ева Артёмовна
6925;Петров Дмитрий Степанович;03.06.2007;5667 912567;261963920;58888;Факультет математики;13111;01.09.2022;;Мартынова София Юрьевна
4962;Плотникова Мария Николаевна;24.02.2007;1384 615816;186278860;69744;Факультет математики;14317;01.11.2021;;Пономарева Алиса Романовна
9932;Позднякова Кира Дмитриевна;30.09.2007;1652 944483;990712018;55809;Факультет биологии;10736;01.09.2022;;Прохоров Павел Вячеславович
8754;Потапова Екатерина Вячеславовна;15.09.2007;5752 674100;421711352;72582;Факультет машиностроения;6796;01.09.2022;;Савин Степан Евгеньевич
3915;Потапова Полина Максимовна;21.11.2006;4999 540379;679518851;69744;Факультет математики;14317;01.11.2021;01.03.2024;Серебряков Матвей Артурович
1936;Прохоров Глеб Савельевич;13.06.2007;1282 494472;871652448;64346;Факультет информатики и вычислительной техники;5828;01.09.2022;;Ковалев Михаил Святославович
3958;Рыжова Виктория Леонидовна;04.10.2007;7585 717264;191662306;68579;Факультет машиностроения;17952;01.11.2021;;Кондратьева Злата Григорьевна
3110;Соколов Макар Михайлович;30.10.2007;8526 125647;334716677;72582;Факультет машиностроения;6796;01.11.2021;;Коновалова Алиса Александровна
2495;Спиридонова Анастасия Владимировна;31.01.2007;5995 415989;583176616;69744;Факультет математики;14317;01.09.2022;;Коршунов Ян Владимирович
1737;Степанова София Матвеевна;30.01.2007;1164 605324;134471775;75654;Факультет информатики и вычислительной техники;13806;01.11.2021;;Пономарева Алиса Романовна
7611;Степанова Диана Глебовна;01.01.2007;4465 872928;134669526;69744;Факультет математики;14317;01.09.2021;;Прохоров Павел Вячеславович
1293;Сычев Алексей Артёмович;07.07.2007;6336 607886;994865711;58888;Факультет математики;13111;01.09.2023;01.03.2024;Савин Степан Евгеньевич
9995;Тимофеев Даниил Михайлович;17.08.2007;2740 998734;223098573;75081;Факультет машиностроения;15755;01.09.2021;;Серебряков Матвей Артурович
8692;Тихомирова Ксения Николаевна;01.04.2007;4815 298429;233794392;66328;Факультет математики;23906;01.09.2022;;Дмитриев Артём Викторович
1036;Трифонова София Германовна;16.08.2007;9299 163939;836068411;66328;Факультет математики;23906;01.11.2021;;Ковалев Михаил Святославович
8133;Устинова Татьяна Владимировна;29.09.2007;5210 798194;206370904;55809;Факультет биологии;10736;01.09.2023;;Кондратьева Злата Григорьевна
6768;Фадеев Ярослав Артемьевич;04.07.2007;4836 659095;613405303;78459;Факультет машиностроения;8873;01.09.2021;;Коновалова Алиса Александровна
9372;Федотов Даниил Максимович;22.04.2007;4258 134561;477533789;58888;Факультет математики;13111;01.11.2022;;Коршунов Ян Владимирович
9994;Филатова Алиса Ивановна;21.01.2007;7349 850625;34326710;75654;Факультет информатики и вычислительной техники;13806;01.11.2021;;Кузнецова Ирина Сергеевна
1822;Филиппова Ева Михайловна;18.09.2007;2514 220025;107890838;58888;Факультет математики;13111;01.11.2022;;Ильина Анастасия Адамовна
2519;Цветков Кирилл Леонович;20.08.2007;7080 150481;180042998;58888;Факультет математики;13111;01.09.2021;;Круглов Марк Артёмович
6839;Щеглов Кирилл Александрович;25.06.2007;8905 332146;697411545;69744;Факультет математики;14317;01.09.2022;;Мартынова София Юрьевна
7820;Щукина София Александровна;18.04.2007;9208 161614;427145616;58888;Факультет математики;13111;01.09.2021;;Никитина Ева Артёмовна
258;Яковлев Дмитрий Адамович;01.03.2007;5306 179747;550747652;75081;Факультет машиностроения;15755;01.11.2021;;Никитина Ева Артёмовна
